CG Iteration #1, relres 0.2981423969999720, actualerr(2-norm) 0.9928447717245333, actualerr(A-norm) 0.2222222222222222
CG Iteration #31, relres 0.0000014819168693, actualerr(2-norm) 0.9249405715683086, actualerr(A-norm) 0.0000000037015620
CG Iteration #32, relres 0.0000000032262096, actualerr(2-norm) 0.9222796285725235, actualerr(A-norm) 0.0000000018626447
CG Iteration #33, relres 0.0000010674029867, actualerr(2-norm) 0.9221833477971781, actualerr(A-norm) 0.0000000018376686
CG Iteration #34, relres 0.0000000016131032, actualerr(2-norm) 0.9195649586721881, actualerr(A-norm) 0.0000000009313224
CG Iteration #35, relres 0.0000006033877377, actualerr(2-norm) 0.9194407815183823, actualerr(A-norm) 0.0000000009152324
CG Iteration #36, relres 0.0000000008066159, actualerr(2-norm) 0.9168422509825789, actualerr(A-norm) 0.0000000004656612
CG Iteration #37, relres 0.0000000625100707, actualerr(2-norm) 0.9168370384398530, actualerr(A-norm) 0.0000000004653272
CG Iteration #38, relres 0.0000000004032757, actualerr(2-norm) 0.9141114336727315, actualerr(A-norm) 0.0000000002328306
CG Iteration #39, relres 0.0000001590256453, actualerr(2-norm) 0.9139725256462321, actualerr(A-norm) 0.0000000002283532
CG Iteration #40, relres 0.0000029908138192, actualerr(2-norm) 0.9137804937799484, actualerr(A-norm) 0.0000000002220161
CG Iteration #41, relres 0.0000000002016373, actualerr(2-norm) 0.9113724338378756, actualerr(A-norm) 0.0000000001164153
CG Iteration #42, relres 0.0000001759051039, actualerr(2-norm) 0.9105528151227890, actualerr(A-norm) 0.0000000001025517
CG Iteration #43, relres 0.0000006364247784, actualerr(2-norm) 0.9086424892530054, actualerr(A-norm) 0.0000000000587544
CG Iteration #44, relres 0.0000000001008186, actualerr(2-norm) 0.9086251774817556, actualerr(A-norm) 0.0000000000582076
CG Iteration #45, relres 0.0000001031289327, actualerr(2-norm) 0.9070829194819962, actualerr(A-norm) 0.0000000000443280
CG Iteration #46, relres 0.0000002285391983, actualerr(2-norm) 0.9058784980005286, actualerr(A-norm) 0.0000000000292444
CG Iteration #47, relres 0.0000000000504097, actualerr(2-norm) 0.9058695894834130, actualerr(A-norm) 0.0000000000291038
CG Iteration #48, relres 0.0000000129939573, actualerr(2-norm) 0.9058105791727367, actualerr(A-norm) 0.0000000000288695
CG Iteration #49, relres 0.0000001435621301, actualerr(2-norm) 0.9031196958409233, actualerr(A-norm) 0.0000000000146627
CG Iteration #50, relres 0.0000000000252117, actualerr(2-norm) 0.9031055935767475, actualerr(A-norm) 0.0000000000145519
CG Iteration #51, relres 0.0000000010635158, actualerr(2-norm) 0.9031040260806860, actualerr(A-norm) 0.0000000000145488
CG Iteration #52, relres 0.0000000365339090, actualerr(2-norm) 0.9003367452305391, actualerr(A-norm) 0.0000000000072902
CG Iteration #53, relres 0.0000000000126051, actualerr(2-norm) 0.9003331123250068, actualerr(A-norm) 0.0000000000072760
CG Iteration #54, relres 0.0000000006010903, actualerr(2-norm) 0.9003311031461663, actualerr(A-norm) 0.0000000000072740
CG Iteration #55, relres 0.0000000156550387, actualerr(2-norm) 0.8975547415433053, actualerr(A-norm) 0.0000000000036432
CG Iteration #56, relres 0.0000000000208948, actualerr(2-norm) 0.8975520670961342, actualerr(A-norm) 0.0000000000036380
CG Iteration #57, relres 0.0000000000066089, actualerr(2-norm) 0.8975520670959262, actualerr(A-norm) 0.0000000000036380
CG Iteration #58, relres 0.0000000015966371, actualerr(2-norm) 0.8974945416067285, actualerr(A-norm) 0.0000000000036097
CG Iteration #59, relres 0.0000000009208181, actualerr(2-norm) 0.8947624150850536, actualerr(A-norm) 0.0000000000018190
CG Iteration #60, relres 0.0000000000031507, actualerr(2-norm) 0.8947623780356804, actualerr(A-norm) 0.0000000000018190
CG Iteration #61, relres 0.0000000005283826, actualerr(2-norm) 0.8947623765108382, actualerr(A-norm) 0.0000000000018190
CG Iteration #62, relres 0.0000000005376156, actualerr(2-norm) 0.8947363782354508, actualerr(A-norm) 0.0000000000018126
CG Iteration #63, relres 0.0000000201609739, actualerr(2-norm) 0.8920396644759120, actualerr(A-norm) 0.0000000000009456
CG Iteration #64, relres 0.0000000000015754, actualerr(2-norm) 0.8919639640411252, actualerr(A-norm) 0.0000000000009095
CG Iteration #65, relres 0.0000000001516654, actualerr(2-norm) 0.8919639635370337, actualerr(A-norm) 0.0000000000009095
CG Iteration #66, relres 0.0000000001921473, actualerr(2-norm) 0.8919506720195985, actualerr(A-norm) 0.0000000000009079
CG Iteration #67, relres 0.0000000019490555, actualerr(2-norm) 0.8891594208522176, actualerr(A-norm) 0.0000000000004554
CG Iteration #68, relres 0.0000000000007877, actualerr(2-norm) 0.8891567427332129, actualerr(A-norm) 0.0000000000004547
CG Iteration #69, relres 0.0000000002271076, actualerr(2-norm) 0.8891567381944397, actualerr(A-norm) 0.0000000000004547
CG Iteration #70, relres 0.0000000000608384, actualerr(2-norm) 0.8891514042423380, actualerr(A-norm) 0.0000000000004544
CG Iteration #71, relres 0.0000000000285824, actualerr(2-norm) 0.8863406327361004, actualerr(A-norm) 0.0000000000002274
CG Iteration #72, relres 0.0000000000004060, actualerr(2-norm) 0.8863406304282101, actualerr(A-norm) 0.0000000000002274
CG Iteration #73, relres 0.0000000000016220, actualerr(2-norm) 0.8863406304281511, actualerr(A-norm) 0.0000000000002274
CG Iteration #74, relres 0.0000000000534925, actualerr(2-norm) 0.8863406294184830, actualerr(A-norm) 0.0000000000002274
CG Iteration #75, relres 0.0000000000406280, actualerr(2-norm) 0.8863310692849827, actualerr(A-norm) 0.0000000000002271
CG Iteration #76, relres 0.0000000000293324, actualerr(2-norm) 0.8835155518566560, actualerr(A-norm) 0.0000000000001137
CG Iteration #77, relres 0.0000000000001969, actualerr(2-norm) 0.8835155421088083, actualerr(A-norm) 0.0000000000001137
CG Iteration #78, relres 0.0000000000366273, actualerr(2-norm) 0.8835155402473553, actualerr(A-norm) 0.0000000000001137
CG Iteration #79, relres 0.0000000002644963, actualerr(2-norm) 0.8835155339294890, actualerr(A-norm) 0.0000000000001137
CG Iteration #80, relres 0.0000000001720228, actualerr(2-norm) 0.8826668336201493, actualerr(A-norm) 0.0000000000001001
CG Iteration #81, relres 0.0000000008367517, actualerr(2-norm) 0.8807142340206011, actualerr(A-norm) 0.0000000000000578
CG Iteration #82, relres 0.0000000000000985, actualerr(2-norm) 0.8806813913941517, actualerr(A-norm) 0.0000000000000568
CG Iteration #83, relres 0.0000000006499075, actualerr(2-norm) 0.8806812194333358, actualerr(A-norm) 0.0000000000000568
CG Iteration #84, relres 0.0000000003529464, actualerr(2-norm) 0.8806800018624313, actualerr(A-norm) 0.0000000000000568
CG Iteration #85, relres 0.0000000000054995, actualerr(2-norm) 0.8806785742435590, actualerr(A-norm) 0.0000000000000568
CG Iteration #86, relres 0.0000000015233924, actualerr(2-norm) 0.8795138451226586, actualerr(A-norm) 0.0000000000000473
CG Iteration #87, relres 0.0000000000000492, actualerr(2-norm) 0.8778380905087100, actualerr(A-norm) 0.0000000000000284
CG Iteration #88, relres 0.0000000000046283, actualerr(2-norm) 0.8778380900269607, actualerr(A-norm) 0.0000000000000284
CG Iteration #89, relres 0.0000000000407875, actualerr(2-norm) 0.8778380876370482, actualerr(A-norm) 0.0000000000000284
CG Iteration #90, relres 0.0000000005271338, actualerr(2-norm) 0.8778380365915157, actualerr(A-norm) 0.0000000000000284
CG Iteration #91, relres 0.0000000000023717, actualerr(2-norm) 0.8778359880019568, actualerr(A-norm) 0.0000000000000284
CG Iteration #92, relres 0.0000000006369920, actualerr(2-norm) 0.8753893206094970, actualerr(A-norm) 0.0000000000000170
CG Iteration #93, relres 0.0000000000000246, actualerr(2-norm) 0.8749855502508799, actualerr(A-norm) 0.0000000000000142
CG Iteration #94, relres 0.0000000000742160, actualerr(2-norm) 0.8749854887535297, actualerr(A-norm) 0.0000000000000142
CG Iteration #95, relres 0.0000000000393548, actualerr(2-norm) 0.8749854153204397, actualerr(A-norm) 0.0000000000000142
CG Iteration #96, relres 0.0000000000032021, actualerr(2-norm) 0.8749739148581256, actualerr(A-norm) 0.0000000000000142
CG Iteration #97, relres 0.0000000000056236, actualerr(2-norm) 0.8749739148282338, actualerr(A-norm) 0.0000000000000142
CG Iteration #98, relres 0.0000000000109294, actualerr(2-norm) 0.8721240309722350, actualerr(A-norm) 0.0000000000000071
CG Iteration #99, relres 0.0000000000000123, actualerr(2-norm) 0.8721236799605211, actualerr(A-norm) 0.0000000000000071
CG Iteration #100, relres 0.0000000001614405, actualerr(2-norm) 0.8721227260764988, actualerr(A-norm) 0.0000000000000071
n = 200 iter = 99 time = 0.144s relres = 0.0000000000000123
